transaction_id,sender,receiver,amount,day,type
TX-3-0001,P52,P22,120000,34,normal
TX-3-0002,P74,P77,8500,49,normal
TX-3-0003,P55,P59,4500,12,normal
TX-3-0004,P55,P05,120000,4,normal
TX-3-0005,P10,P42,8500,26,normal
TX-3-0006,P59,P10,120000,47,normal
TX-3-0007,P14,P59,1200,48,normal
TX-3-0008,P38,P34,120000,37,normal
TX-3-0009,P69,P54,120000,42,normal
TX-3-0010,P12,P21,25000,57,normal
TX-3-0011,P12,P28,12000,4,normal
TX-3-0012,P44,P68,25000,40,normal
TX-3-0013,P51,P56,75000,43,normal
TX-3-0014,P31,P33,1200,54,normal
TX-3-0015,P15,P03,1200,28,normal
TX-3-0016,P21,P01,1200,51,normal
TX-3-0017,P68,P75,8500,28,normal
TX-3-0018,P14,P28,12000,7,normal
TX-3-0019,P21,P77,75000,38,normal
TX-3-0020,P66,P76,8500,46,normal
TX-3-0021,P18,P10,25000,6,normal
TX-3-0022,P68,P55,12000,20,normal
TX-3-0023,P74,P04,4500,11,normal
TX-3-0024,P77,P33,75000,33,normal
TX-3-0025,P53,P65,4500,58,normal
TX-3-0026,P32,P64,8500,58,normal
TX-3-0027,P27,P01,8500,32,normal
TX-3-0028,P62,P63,25000,66,normal
TX-3-0029,P64,P69,25000,36,normal
TX-3-0030,P36,P77,1200,66,normal
TX-3-0031,P03,P53,120000,32,normal
TX-3-0032,P59,P61,12000,62,normal
TX-3-0033,P02,P39,8500,39,normal
TX-3-0034,P65,P49,1200,45,normal
TX-3-0035,P57,P02,1200,6,normal
TX-3-0036,P09,P46,1200,69,normal
TX-3-0037,P19,P51,1200,8,normal
TX-3-0038,P76,P46,75000,20,normal
TX-3-0039,P78,P54,12000,70,normal
TX-3-0040,P03,P62,8500,31,normal
TX-3-0041,P31,P47,75000,35,normal
TX-3-0042,P01,P34,75000,69,normal
TX-3-0043,P35,P38,75000,32,normal
TX-3-0044,P50,P15,12000,6,normal
TX-3-0045,P21,P44,4500,28,normal
TX-3-0046,P35,P48,75000,2,normal
TX-3-0047,P38,P24,75000,28,normal
TX-3-0048,P68,P01,1200,19,normal
TX-3-0049,P42,P01,4500,33,normal
TX-3-0050,P40,P25,25000,51,normal
TX-3-0051,P78,P40,12000,56,normal
TX-3-0052,P51,P14,1200,62,normal
TX-3-0053,P50,P20,1200,40,normal
TX-3-0054,P34,P07,1200,26,normal
TX-3-0055,P48,P35,25000,6,normal
TX-3-0056,P01,P36,8500,66,normal
TX-3-0057,P45,P02,25000,37,normal
TX-3-0058,P50,P35,75000,11,normal
TX-3-0059,P24,P08,1200,26,normal
TX-3-0060,P77,P15,4500,8,normal
TX-3-0061,P40,P63,12000,38,normal
TX-3-0062,P40,P01,75000,51,normal
TX-3-0063,P19,P09,75000,57,normal
TX-3-0064,P06,P23,120000,13,normal
