post_id,handle,person_id,timestamp,day,location_tag,post_text,hashtags,ground_truth_flag
SOC0058,@anita83,N18,2026-01-27,27,Dockside Ward,"Watching the match tonight, who's up for it? #cricket",#weekend,noise
SOC0064,@amit21,N12,2026-01-26,26,Dockside Ward,"Beautiful sunset from Dockside Ward today, needed this.",#family,noise
SOC0024,@rajan20,B1,2026-03-01,60,Lakeview Chowk,"Package count almost done, moving it by this weekend near Lakeview Chowk.",#family,relevant_cell_B
SOC0016,@rohit90,A12,2026-02-25,56,Dockside Ward,"New shipment landing soon, Dockside Ward side clear for now.",#hustle,relevant_cell_A
SOC0035,@nasir14,C2,2026-03-02,61,Dockside Ward,"Prkash Shetty collecting around Dockside Ward, wrap up fast. #grind",#grind,relevant_cell_C
SOC0036,@prakash21,C1,2026-03-01,60,North Bypass,"Package count almost done, moving it by this weekend near North Bypass.",#hustle,relevant_cell_C
SOC0026,@nitin82,B4,2026-02-24,55,Dockside Ward,"Package count almost done, moving it by this weekend near Dockside Ward.",#blessed,relevant_cell_B
SOC0042,@poonam99,N14,2026-01-27,27,New Colony,"Traffic near New Colony is unbearable this morning, avoid if you can.",#family,noise
SOC0051,@priya42,N7,2026-02-06,37,Lakeview Chowk,Great biryani at the new place near Lakeview Chowk today! 10/10 #foodie,#weekend,noise
SOC0023,@rajan25,B1,2026-02-27,58,Central Junction,"Meeting the usual crew near Central Junction tonight, don't be late.",#hustle,relevant_cell_B
SOC0010,@anwar62,A1,2026-02-19,50,Hilltop Society,"Package count almost done, moving it by this weekend near Hilltop Society.",#grind,relevant_cell_A
SOC0015,@vikas78,A4,2026-02-22,53,Dockside Ward,"New shipment landing soon, Dockside Ward side clear for now.",#business,relevant_cell_A
SOC0033,@neha45,C11,2026-02-28,59,Dockside Ward,"New shipment landing soon, Dockside Ward side clear for now.",#family,relevant_cell_C
SOC0063,@alok48,N10,2026-03-09,68,Industrial Estate Road,"Traffic near Industrial Estate Road is unbearable this morning, avoid if you can.",#hustle,noise
SOC0028,@vinod90,B3,2026-03-01,60,Central Junction,"Package count almost done, moving it by this weekend near Central Junction.",#grind,relevant_cell_B
SOC0011,@rohit18,A12,2026-02-22,53,North Bypass,"Meeting the usual crew near North Bypass tonight, don't be late.",#grind,relevant_cell_A
SOC0012,@vikas68,A4,2026-02-26,57,Warehouse District,"Package count almost done, moving it by this weekend near Warehouse District.",#grind,relevant_cell_A
SOC0031,@baban94,C4,2026-02-28,59,Industrial Estate Road,"New shipment landing soon, Industrial Estate Road side clear for now.",#business,relevant_cell_C
