post_id,handle,person_id,timestamp,day,location_tag,post_text,hashtags,ground_truth_flag
SOC0075,@arjun75,N5,2026-02-22,53,Central Junction,"Traffic near Central Junction is unbearable this morning, avoid if you can.",#weekend,noise
SOC0017,@nitin61,B4,2026-02-27,58,Central Junction,"Meeting the usual crew near Central Junction tonight, don't be late.",#grind,relevant_cell_B
SOC0070,@poonam25,N13,2026-01-12,12,Warehouse District,"Beautiful sunset from Warehouse District today, needed this.",#hustle,noise
SOC0022,@kavita69,B11,2026-03-01,60,Station Road,"Collections running slow this week around Station Road, need to speed up.",#family,relevant_cell_B
SOC0063,@divya26,E7,2026-03-09,68,Hilltop Society,"Hiring enthusiastic callers, flexible hours, training provided near Hilltop Society. #hiring #wfh",#business,relevant_cell_E
SOC0027,@baban67,C4,2026-02-26,57,Old Market Circle,"Big delivery coming through Old Market Circle soon, everyone ready? #hustle",#hustle,relevant_cell_C
SOC0010,@anwar58,A1,2026-02-22,53,Hilltop Society,"Collections running slow this week around Hilltop Society, need to speed up.",#hustle,relevant_cell_A
SOC0068,@vinay37,N10,2026-01-16,16,Lakeview Chowk,"Beautiful sunset from Lakeview Chowk today, needed this.",#weekend,noise
SOC0004,@rohit81,A12,2026-02-20,51,Lakeview Chowk,"Meeting the usual crew near Lakeview Chowk tonight, don't be late.",#weekend,relevant_cell_A
SOC0008,@meena80,A11,2026-02-21,52,Riverside Colony,"Meeting the usual crew near Riverside Colony tonight, don't be late.",#weekend,relevant_cell_A
SOC0067,@arjun47,N5,2026-01-09,9,Hilltop Society,"Beautiful sunset from Hilltop Society today, needed this.",#weekend,noise
SOC0003,@farhan14,A3,2026-02-26,57,New Colony,"Big delivery coming through New Colony soon, everyone ready? #hustle",#grind,relevant_cell_A
SOC0012,@vikas13,A4,2026-02-22,53,Central Junction,"New shipment landing soon, Central Junction side clear for now.",#hustle,relevant_cell_A
SOC0019,@vinod16,B3,2026-02-27,58,Warehouse District,"New shipment landing soon, Warehouse District side clear for now.",#weekend,relevant_cell_B
SOC0005,@farhan52,A3,2026-02-26,57,Station Road,"Package count almost done, moving it by this weekend near Station Road.",#family,relevant_cell_A
SOC0080,@vinay99,N14,2026-01-26,26,Lakeview Chowk,Great biryani at the new place near Lakeview Chowk today! 10/10 #foodie,#hustle,noise
SOC0038,@neha86,C11,2026-02-26,57,Dockside Ward,"Collections running slow this week around Dockside Ward, need to speed up.",#weekend,relevant_cell_C
SOC0086,@vinay42,N18,2026-02-12,43,Hilltop Society,"Beautiful sunset from Hilltop Society today, needed this.",#weekend,noise
SOC0011,@vikas10,A4,2026-02-25,56,North Bypass,"Big delivery coming through North Bypass soon, everyone ready? #hustle",#grind,relevant_cell_A
SOC0061,@priya21,E2,2026-03-09,68,Station Road,"Earn ₹5000/day doing simple data entry calls, no experience needed! Limited seats. #jobalert",#business,relevant_cell_E
SOC0083,@poonam18,N13,2026-01-29,29,Old Market Circle,"Watching the match tonight, who's up for it? #cricket",#family,noise
SOC0044,@sonal47,D7,2026-02-01,32,New Colony,"Fresh stock of spare parts available near New Colony, DM for prices. #spareparts #deal",#grind,relevant_cell_D
SOC0016,@nitin61,B4,2026-02-24,55,New Colony,"Meeting the usual crew near New Colony tonight, don't be late.",#family,relevant_cell_B
SOC0078,@divya13,N17,2026-02-22,53,Dockside Ward,"Watching the match tonight, who's up for it? #cricket",#family,noise
SOC0034,@prakash84,C1,2026-03-03,62,Warehouse District,"Package count almost done, moving it by this weekend near Warehouse District.",#hustle,relevant_cell_C
SOC0049,@ajay57,D2,2026-02-05,36,New Colony,"Fresh stock of spare parts available near New Colony, DM for prices. #spareparts #deal",#family,relevant_cell_D
SOC0093,@priya51,N3,2026-03-12,71,Riverside Colony,"Beautiful sunset from Riverside Colony today, needed this.",#grind,noise
SOC0033,@prakash72,C1,2026-03-03,62,Dockside Ward,"Collections running slow this week around Dockside Ward, need to speed up.",#weekend,relevant_cell_C
SOC0026,@nitin90,B4,2026-02-22,53,Station Road,"Meeting the usual crew near Station Road tonight, don't be late.",#hustle,relevant_cell_B
SOC0091,@divya32,N2,2026-01-09,9,Lakeview Chowk,"Traffic near Lakeview Chowk is unbearable this morning, avoid if you can.",#blessed,noise
SOC0007,@meena71,A11,2026-02-22,53,New Colony,"Package count almost done, moving it by this weekend near New Colony.",#hustle,relevant_cell_A
SOC0054,@priya10,E2,2026-03-11,70,Central Junction,"Work from home, easy income, just need your bank account for a few hours a day! DM now. #jobalert",#weekend,relevant_cell_E
SOC0084,@amit62,N4,2026-02-27,58,Warehouse District,"Watching the match tonight, who's up for it? #cricket",#family,noise
