fir_id,case_id,person_id,crime_type,location,day,description
FIR-2101,CASE_02,P01,Illegal Arms,LOC-1,10,Record referencing possible illegal arms activity involving P01.
FIR-2102,CASE_02,P02,Illegal Arms,LOC-2,13,Record referencing possible illegal arms activity involving P02.
FIR-2103,CASE_02,P03,Illegal Arms,LOC-3,16,Record referencing possible illegal arms activity involving P03.
FIR-2104,CASE_02,P04,Illegal Arms,LOC-4,19,Record referencing possible illegal arms activity involving P04.
FIR-2105,CASE_02,P05,Illegal Arms,LOC-5,22,Record referencing possible illegal arms activity involving P05.
FIR-2201,CASE_02,P16,Smuggling,LOC-2,18,Record referencing possible smuggling activity involving P16.
FIR-2202,CASE_02,P17,Smuggling,LOC-3,21,Record referencing possible smuggling activity involving P17.
FIR-2203,CASE_02,P18,Smuggling,LOC-4,24,Record referencing possible smuggling activity involving P18.
FIR-2204,CASE_02,P19,Smuggling,LOC-5,27,Record referencing possible smuggling activity involving P19.
FIR-2205,CASE_02,P20,Smuggling,LOC-6,30,Record referencing possible smuggling activity involving P20.
FIR-2301,CASE_02,P31,Financial Facilitation,LOC-3,26,Record referencing possible financial facilitation activity involving P31.
FIR-2302,CASE_02,P32,Financial Facilitation,LOC-4,29,Record referencing possible financial facilitation activity involving P32.
FIR-2303,CASE_02,P33,Financial Facilitation,LOC-5,32,Record referencing possible financial facilitation activity involving P33.
FIR-2304,CASE_02,P34,Financial Facilitation,LOC-6,35,Record referencing possible financial facilitation activity involving P34.
FIR-2305,CASE_02,P35,Financial Facilitation,LOC-7,38,Record referencing possible financial facilitation activity involving P35.
FIR-2401,CASE_02,P46,Logistics,LOC-4,34,Record referencing possible logistics activity involving P46.
FIR-2402,CASE_02,P47,Logistics,LOC-5,37,Record referencing possible logistics activity involving P47.
FIR-2403,CASE_02,P48,Logistics,LOC-6,40,Record referencing possible logistics activity involving P48.
FIR-2404,CASE_02,P49,Logistics,LOC-7,43,Record referencing possible logistics activity involving P49.
FIR-2405,CASE_02,P50,Logistics,LOC-8,46,Record referencing possible logistics activity involving P50.
