post_id,handle,person_id,timestamp,day,location_tag,post_text,hashtags,ground_truth_flag
SOC0088,@kiran99,M10,2026-03-28,87,Central Junction,"Beautiful sunset from Central Junction today, needed this.",#blessed,noise
SOC0005,@sameer37,D4,2026-02-24,55,Industrial Estate Road,"Collections running slow this week around Industrial Estate Road, need to speed up.",#blessed,relevant_cell_D
SOC0042,@rudra28,E16,2026-02-25,56,Station Road,"New shipment landing soon, Station Road side clear for now.",#grind,relevant_cell_E
SOC0102,@naveen12,M21,2026-01-14,14,Hilltop Society,"Watching the match tonight, who's up for it? #cricket",#blessed,noise
SOC0012,@rajan73,D1,2026-02-24,55,Dockside Ward,"Meeting the usual crew near Dockside Ward tonight, don't be late.",#grind,relevant_cell_D
SOC0075,@rohan36,F12,2026-02-27,58,North Bypass,"Veer Gupt collecting around North Bypass, wrap up fast. #grind",#grind,relevant_cell_F
SOC0103,@karishma26,M25,2026-03-16,75,Riverside Colony,Great biryani at the new place near Riverside Colony today! 10/10 #foodie,#business,noise
SOC0006,@sanjay71,D12,2026-02-22,53,Lakeview Chowk,"Pojoa Reddy collecting around Lakeview Chowk, wrap up fast. #grind",#family,relevant_cell_D
SOC0024,@sanjay79,D12,2026-02-22,53,Old Market Circle,"New shipment landing soon, Old Market Circle side clear for now.",#weekend,relevant_cell_D
SOC0065,@deepak33,F11,2026-02-27,58,Industrial Estate Road,"Big delivery coming through Industrial Estate Road soon, everyone ready? #hustle",#family,relevant_cell_F
SOC0041,@tushar43,E2,2026-02-23,54,New Colony,"Meeting the usual crew near New Colony tonight, don't be late.",#business,relevant_cell_E
SOC0060,@deepak82,F11,2026-02-28,59,Eastgate,"Met uSnil Bhosale near Eastgate last night, keep it quiet. #hustle",#family,relevant_cell_F
SOC0095,@manoj51,M19,2026-01-27,27,Station Road,Anyone recommend a good electrician near Station Road?,#grind,noise
SOC0039,@divya79,E1,2026-02-27,58,North Bypass,"Meeting the usual crew near North Bypass tonight, don't be late.",#family,relevant_cell_E
SOC0115,@kiran81,M10,2026-02-02,33,New Colony,Great biryani at the new place near New Colony today! 10/10 #foodie,#blessed,noise
SOC0015,@pooja80,D11,2026-02-22,53,Station Road,"Meeting the usual crew near Station Road tonight, don't be late.",#family,relevant_cell_D
SOC0021,@pooja17,D11,2026-02-20,51,Dockside Ward,"Met Rajesh Ansri near Dockside Ward last night, keep it quiet. #hustle",#grind,relevant_cell_D
SOC0001,@rajesh65,D3,2026-02-23,54,Industrial Estate Road,"Met Vivaan Kulkrani near Industrial Estate Road last night, keep it quiet. #hustle",#hustle,relevant_cell_D
SOC0003,@rajan58,D1,2026-02-24,55,Central Junction,"New shipment landing soon, Central Junction side clear for now.",#hustle,relevant_cell_D
SOC0030,@divya19,E1,2026-02-22,53,Warehouse District,"Told Rudra Malohtra the drop moves to Warehouse District, pass it on.",#blessed,relevant_cell_E
SOC0105,@alok50,M7,2026-03-03,62,Warehouse District,"Traffic near Warehouse District is unbearable this morning, avoid if you can.",#hustle,noise
SOC0033,@kabir17,E15,2026-02-24,55,Hilltop Society,"Collections running slow this week around Hilltop Society, need to speed up.",#grind,relevant_cell_E
SOC0027,@sneha59,E4,2026-02-27,58,New Colony,"Rudra Mlhotra collecting around New Colony, wrap up fast. #grind",#hustle,relevant_cell_E
SOC0082,@sameer11,F3,2026-02-25,56,Industrial Estate Road,"Vivan Chougule collecting around Industrial Estate Road, wrap up fast. #grind",#business,relevant_cell_F
SOC0010,@sanjay67,D12,2026-02-19,50,Hilltop Society,"Meeting the usual crew near Hilltop Society tonight, don't be late.",#family,relevant_cell_D
SOC0004,@vivaan59,D2,2026-02-20,51,Warehouse District,"Collections running slow this week around Warehouse District, need to speed up.",#grind,relevant_cell_D
SOC0123,@alok15,M1,2026-01-03,3,Industrial Estate Road,"Watching the match tonight, who's up for it? #cricket",#blessed,noise
SOC0068,@vivaan14,F2,2026-02-28,59,Eastgate,"Package count almost done, moving it by this weekend near Eastgate.",#business,relevant_cell_F
SOC0130,@alok62,M1,2026-02-28,59,Industrial Estate Road,"Traffic near Industrial Estate Road is unbearable this morning, avoid if you can.",#family,noise
SOC0028,@kabir51,E15,2026-03-01,60,Old Market Circle,"Package count almost done, moving it by this weekend near Old Market Circle.",#family,relevant_cell_E
SOC0058,@sameer97,F3,2026-02-26,57,Station Road,"New shipment landing soon, Station Road side clear for now.",#weekend,relevant_cell_F
SOC0127,@swati87,M11,2026-03-08,67,Warehouse District,"Watching the match tonight, who's up for it? #cricket",#hustle,noise
SOC0087,@pooja44,M6,2026-01-30,30,Lakeview Chowk,"Watching the match tonight, who's up for it? #cricket",#weekend,noise
SOC0002,@sameer58,D4,2026-02-19,50,Central Junction,"Collections running slow this week around Central Junction, need to speed up.",#blessed,relevant_cell_D
SOC0031,@rajan32,E3,2026-02-28,59,Dockside Ward,"Collections running slow this week around Dockside Ward, need to speed up.",#grind,relevant_cell_E
SOC0121,@divya18,M5,2026-03-10,69,Dockside Ward,Great biryani at the new place near Dockside Ward today! 10/10 #foodie,#weekend,noise
SOC0113,@sneha28,M26,2026-02-24,55,Warehouse District,"Beautiful sunset from Warehouse District today, needed this.",#weekend,noise
SOC0008,@sameer98,D4,2026-02-21,52,Industrial Estate Road,"Meeting the usual crew near Industrial Estate Road tonight, don't be late.",#weekend,relevant_cell_D
SOC0044,@rudra11,E16,2026-02-24,55,Warehouse District,"Meeting the usual crew near Warehouse District tonight, don't be late.",#family,relevant_cell_E
SOC0122,@pallavi95,M15,2026-03-13,72,Old Market Circle,"Beautiful sunset from Old Market Circle today, needed this.",#weekend,noise
SOC0073,@vivaan32,F2,2026-02-28,59,Warehouse District,"New shipment landing soon, Warehouse District side clear for now.",#grind,relevant_cell_F
SOC0119,@alok66,M7,2026-01-18,18,Lakeview Chowk,"Beautiful sunset from Lakeview Chowk today, needed this.",#grind,noise
SOC0129,@harsh91,M34,2026-01-02,2,Riverside Colony,"Traffic near Riverside Colony is unbearable this morning, avoid if you can.",#weekend,noise
SOC0083,@pallavi77,M15,2026-01-01,1,Station Road,"Watching the match tonight, who's up for it? #cricket",#family,noise
SOC0091,@priya36,M28,2026-02-27,58,Old Market Circle,Great biryani at the new place near Old Market Circle today! 10/10 #foodie,#weekend,noise
