call_id,caller,receiver,day,duration_sec,type
CDR-3-0001,P25,P03,61,607,normal
CDR-3-0002,P16,P10,66,410,normal
CDR-3-0003,P05,P12,50,268,normal
CDR-3-0004,P13,P03,58,765,normal
CDR-3-0005,P22,P04,38,732,normal
CDR-3-0006,P05,P10,3,553,normal
CDR-3-0007,P23,P17,26,720,normal
CDR-3-0008,P05,P24,44,164,normal
CDR-3-0009,P15,P13,53,386,normal
CDR-3-0010,P02,P22,26,252,normal
CDR-3-0011,P10,P17,45,809,normal
CDR-3-0012,P11,P12,51,712,normal
CDR-3-0013,P22,P08,31,543,normal
CDR-3-0014,P07,P08,23,393,normal
CDR-3-0015,P09,P23,19,831,normal
CDR-3-0016,P01,P21,53,811,normal
CDR-3-0017,P16,P61,20,734,normal
CDR-3-0018,P07,P13,57,468,normal
CDR-3-0019,P06,P61,23,341,normal
CDR-3-0020,P06,P10,47,465,normal
CDR-3-0021,P09,P24,50,231,normal
CDR-3-0022,P24,P61,63,566,normal
CDR-3-0023,P18,P10,54,42,normal
CDR-3-0024,P05,P04,48,617,normal
CDR-3-0025,P18,P11,29,716,normal
CDR-3-0026,P25,P22,43,467,normal
CDR-3-0027,P12,P06,17,794,normal
CDR-3-0028,P20,P05,45,635,normal
CDR-3-0029,P01,P06,52,237,normal
CDR-3-0030,P61,P05,39,694,normal
CDR-3-0031,P06,P02,11,572,normal
CDR-3-0032,P24,P11,17,781,normal
CDR-3-0033,P19,P26,10,449,normal
CDR-3-0034,P26,P07,68,522,normal
CDR-3-0035,P14,P10,46,584,normal
CDR-3-0036,P08,P11,62,175,normal
CDR-3-0037,P01,P13,54,681,normal
CDR-3-0038,P06,P21,29,455,normal
CDR-3-0039,P21,P13,51,381,normal
CDR-3-0040,P24,P12,19,682,normal
CDR-3-0041,P14,P15,4,320,normal
CDR-3-0042,P01,P07,53,105,normal
CDR-3-0043,P02,P11,12,523,normal
CDR-3-0044,P10,P16,18,496,normal
CDR-3-0045,P23,P07,47,222,normal
CDR-3-0046,P26,P13,42,165,normal
CDR-3-0047,P16,P09,56,233,normal
CDR-3-0048,P14,P05,39,877,normal
CDR-3-0049,P06,P18,27,688,normal
CDR-3-0050,P17,P18,30,559,normal
CDR-3-0051,P03,P05,39,745,normal
CDR-3-0052,P02,P04,26,688,normal
CDR-3-0053,P19,P09,46,485,normal
CDR-3-0054,P14,P10,58,681,normal
CDR-3-0055,P04,P21,35,472,normal
CDR-3-0056,P17,P06,19,270,normal
CDR-3-0057,P26,P19,5,69,normal
CDR-3-0058,P07,P16,70,159,normal
CDR-3-0059,P61,P07,41,175,normal
CDR-3-0060,P07,P22,9,143,normal
CDR-3-0061,P61,P15,34,257,normal
CDR-3-0062,P21,P25,10,548,normal
CDR-3-0063,P17,P11,24,147,normal
CDR-3-0064,P26,P01,66,758,normal
CDR-3-0065,P12,P18,24,208,normal
CDR-3-0066,P22,P24,40,792,normal
CDR-3-0067,P23,P14,28,586,normal
CDR-3-0068,P11,P17,39,29,normal
CDR-3-0069,P17,P26,33,421,normal
CDR-3-0070,P12,P09,38,543,normal
CDR-3-0071,P25,P14,27,317,normal
CDR-3-0072,P09,P05,26,121,normal
CDR-3-0073,P07,P11,62,238,normal
CDR-3-0074,P22,P02,48,150,normal
CDR-3-0075,P09,P13,60,23,normal
CDR-3-0076,P61,P25,33,366,normal
CDR-3-0077,P04,P18,28,89,normal
CDR-3-0078,P61,P11,41,702,normal
CDR-3-0079,P07,P22,1,210,normal
CDR-3-0080,P16,P05,41,181,normal
CDR-3-0081,P11,P03,19,332,normal
CDR-3-0082,P23,P25,51,112,normal
CDR-3-0083,P02,P09,32,383,normal
CDR-3-0084,P26,P09,40,396,normal
CDR-3-0085,P25,P22,10,698,normal
CDR-3-0086,P26,P13,56,456,normal
CDR-3-0087,P61,P05,7,473,normal
CDR-3-0088,P04,P26,9,477,normal
CDR-3-0089,P26,P21,26,856,normal
CDR-3-0090,P11,P17,4,897,normal
CDR-3-0091,P12,P14,19,109,normal
CDR-3-0092,P05,P08,62,407,normal
CDR-3-0093,P14,P16,63,552,normal
CDR-3-0094,P09,P22,29,499,normal
CDR-3-0095,P06,P13,4,432,normal
CDR-3-0096,P05,P16,19,50,normal
CDR-3-0097,P07,P01,11,341,normal
CDR-3-0098,P18,P25,15,299,normal
CDR-3-0099,P09,P19,49,435,normal
CDR-3-0100,P11,P13,7,778,normal
CDR-3-0101,P22,P61,50,362,normal
CDR-3-0102,P25,P22,40,763,normal
