post_id,person_id,day,text
POST-2-0001,P38,63,urgent meeting
POST-2-0002,P15,2,route changed
POST-2-0003,P07,53,package ready
POST-2-0004,P26,55,normal update
POST-2-0005,P56,47,urgent meeting
POST-2-0006,P11,4,urgent meeting
POST-2-0007,P56,46,delivery confirmed
POST-2-0008,P23,7,delivery confirmed
POST-2-0009,P25,18,call me later
POST-2-0010,P44,56,urgent meeting
POST-2-0011,P02,46,meeting near location
POST-2-0012,P58,13,delivery confirmed
POST-2-0013,P34,44,meeting near location
POST-2-0014,P12,44,route changed
POST-2-0015,P47,65,package ready
POST-2-0016,P11,4,call me later
POST-2-0017,P16,21,normal update
POST-2-0018,P21,46,call me later
POST-2-0019,P35,42,route changed
POST-2-0020,P10,20,meeting near location
POST-2-0021,P58,24,meeting near location
POST-2-0022,P08,49,normal update
POST-2-0023,P22,59,normal update
POST-2-0024,P51,30,delivery confirmed
POST-2-0025,P13,18,delivery confirmed
POST-2-0026,P43,50,package ready
POST-2-0027,P49,21,meeting near location
POST-2-0028,P22,17,urgent meeting
POST-2-0029,P09,68,call me later
POST-2-0030,P34,66,delivery confirmed
POST-2-0031,P38,58,delivery confirmed
POST-2-0032,P24,57,normal update
POST-2-0033,P03,15,call me later
POST-2-0034,P17,58,call me later
POST-2-0035,P52,38,meeting near location
POST-2-0036,P03,64,call me later
POST-2-0037,P35,29,urgent meeting
POST-2-0038,P05,9,call me later
POST-2-0039,P59,52,urgent meeting
POST-2-0040,P15,46,call me later
POST-2-0041,P12,32,delivery confirmed
POST-2-0042,P24,46,call me later
POST-2-0043,P46,43,route changed
POST-2-0044,P29,15,urgent meeting
POST-2-0045,P56,24,meeting near location
POST-2-0046,P18,47,meeting near location
POST-2-0047,P04,53,call me later
POST-2-0048,P10,61,call me later
POST-2-0049,P34,60,package ready
POST-2-0050,P43,34,urgent meeting
POST-2-0051,P09,36,call me later
POST-2-0052,P57,43,meeting near location
POST-2-0053,P16,53,meeting near location
POST-2-0054,P25,10,route changed
POST-2-0055,P19,54,delivery confirmed
POST-2-0056,P38,14,call me later
POST-2-0057,P62,3,urgent meeting
POST-2-0058,P62,47,normal update
POST-2-0059,P62,28,route changed
POST-2-0060,P24,10,package ready
POST-2-0061,P53,42,meeting near location
POST-2-0062,P48,65,delivery confirmed
POST-2-0063,P14,51,package ready
POST-2-0064,P10,33,urgent meeting
POST-2-0065,P16,51,delivery confirmed
POST-2-0066,P35,61,normal update
POST-2-0067,P61,47,normal update
POST-2-0068,P07,61,package ready
POST-2-0069,P42,58,urgent meeting
POST-2-0070,P43,60,call me later
POST-2-0071,P47,12,route changed
POST-2-0072,P15,65,call me later
POST-2-0073,P23,13,call me later
POST-2-0074,P29,28,call me later
POST-2-0075,P10,50,package ready
POST-2-0076,P12,28,delivery confirmed
POST-2-0077,P26,16,urgent meeting
POST-2-0078,P49,35,urgent meeting
POST-2-0079,P29,21,delivery confirmed
POST-2-0080,P03,2,call me later
POST-2-0081,P21,55,meeting near location
POST-2-0082,P14,67,normal update
POST-2-0083,P50,9,urgent meeting
POST-2-0084,P61,26,call me later
POST-2-0085,P61,24,delivery confirmed
POST-2-0086,P07,13,delivery confirmed
POST-2-0087,P55,16,normal update
POST-2-0088,P55,30,package ready
POST-2-0089,P47,63,call me later
POST-2-0090,P43,13,normal update
POST-2-0091,P55,32,route changed
POST-2-0092,P16,70,urgent meeting
POST-2-0093,P46,37,normal update
POST-2-0094,P49,66,normal update
POST-2-0095,P61,14,meeting near location
POST-2-0096,P62,15,meeting near location
POST-2-0097,P41,46,delivery confirmed
POST-2-0098,P02,55,route changed
POST-2-0099,P62,56,urgent meeting
POST-2-0100,P44,40,urgent meeting
POST-2-0101,P19,14,package ready
POST-2-0102,P61,66,package ready
POST-2-0103,P33,32,urgent meeting
POST-2-0104,P15,22,urgent meeting
POST-2-0105,P38,62,normal update
POST-2-0106,P04,70,urgent meeting
POST-2-0107,P60,67,meeting near location
POST-2-0108,P42,19,meeting near location
POST-2-0109,P32,64,package ready
POST-2-0110,P07,54,call me later
